paper_name,article_title,summary
b'https://www.thehindubusinessline.com/',"b'Farmers\xe2\x80\x99 issue, job creation top Rajasthan govt agenda: Pilot'","b'Pilot, after the formation of the Rajasthan Cabinet, said work has begun and the government will start delivering on the promises made in the party\xe2\x80\x99s election manifesto.Agrarian crisis is on the top of the agenda and very soon, there will be quick and substantive steps by the government to enhance the ecosystem for farming community to make sure that farming becomes a profitable venture,\xe2\x80\x9d Pilot told PTI.These are the two issues which we will be going to be principally focused on because Rajasthan deserves a government that delivers on these two fronts,\xe2\x80\x9d he said.The deputy chief minister said the manifesto will be given to the chief secretary, like previous times, and it will be made an official document for the government to function.Pilot, who is also the president of the party\xe2\x80\x99s state unit, said the announcement of loan waiver has not only helped farmers but also gave a message to them that the new government is ready to listen and redress their grievances.'"
b'https://www.thehindubusinessline.com/',b'Low visibility disrupts flight operations at Delhi airport',"b'Low visibility conditions on Tuesday disrupted flight operations at the Delhi airport and departures were put on hold for two hours, an official said.Three international and one domestic flights have been diverted so far while arrivals have not been stopped, the official added.The minimum visibility required for take off is 125 metres.According to the official, since the Low Visibility Take Off (LVTO) requirement is not being fulfilled, departure of flights were on hold for two hours from around 0715 hours.The Indira Gandhi International Airport is the busiest in the country and on an average sees more than 70 flight movements per hour.'"
b'https://www.thehindubusinessline.com/',"b'Five things to watch for on December 25, 2018'","b""This is India's longest rail-road bridge, connecting the north and south banks of the Brahmaputra, falling in the eastern part of Assam and Arunachal Pradesh.Baghel, along with state leaders of his party, met Congress chief Rahul Gandhi in Delhi on Saturday to finalise the names of ministers.Chhattisgarh\xe2\x80\x99s Governor Anandiben Patel will administer the oath to the new ministers on Christmas day.K Chandrashekar Rao, Telangana Chief Minister, will meet BSP Chief Mayawati and Samajwadi Party (SP) President Akhilesh Yadav on Tuesday during his visit to New Delhi.The move is seen as a part of Rao's renewed efforts to reach out to regional parties to float a consortium of regional outfits, sans the Congress and the BJP."""
b'https://www.thehindubusinessline.com/',"b'Maharashtra to follow UP, Rajasthan in giving relief in lieu of entertainment tax waiver'","b'The same may also be placed before the court on the next date of hearing,\xe2\x80\x9d the court said in its order.However, the problem started with the introduction of GST, as entertainment tax got as subsumed in the new indirect tax regime.Based on this principle, the Rajasthan government has already issued a guideline, while UP is formalising the process after decision by the State government\xe2\x80\x99s Cabinet.The court noted the submission made by the petitioner\xe2\x80\x99s counsel, who said that the petitioner was unable to recover even its capital investment because the entire tax structure had changed with the advent of GST.The counsel for the petitioner submitted that if the industry goes sick, besides the capital investment going to waste, it will also render a larger number of people directly or indirectly employed in the industry jobless.'"
b'https://www.thehindubusinessline.com/',b'When slush turned the white salt pans brown',"b'When the water receded, it left behind the slush in salt pans including bunds, brine pits, bore wells and roads.\xe2\x80\x9cIt is very sad to see white turn black and brown,\xe2\x80\x99\xe2\x80\x99 said Vedaratnam, referring to the change in the colour of white salt.Every year, nearly 9 lakh tonnes of salt is produced for about six months in Vedaranyam.Out of the 9 lakh tonnes, about 7 lakh is produced by 800 individual licensees and the balance is split between the Chennai-based Chemplast group and the Gujarat Heavy Chemicals Ltd, said Vedaratnam, who is the grandson of Sardar Vedarathinam Pillai, a famous salt satyagrahi.\xe2\x80\x9cClearing of slush should be done in war footing and compensation should be paid immediately so that the pans could be readied before the next production season,\xe2\x80\x9d he said.'"
b'https://www.thehindubusinessline.com/',"b'All meters to be converted prepaid, smart in 3 years'","b'The Ministry of Power has decided to convert all existing and new meters to smart and pre-paid meters within the three years starting from April 1, 2019.A Power Ministry statement said, \xe2\x80\x9cThe Centre has decided to make all meters smart prepaid in 3 years from April 1, 2019.This step is likely to bring a revolution in the power sector by way of reduction in AT&C losses, better health of Discoms, incentivisation of energy conservation, ease of bill payments and doing away with the paper bills.\xe2\x80\x9d\n\nThe announcement is in continuation of a meeting with meter manufacturers and Minister of State (Independent Charge) for Power and New & Renewable Energy, RK Singh.During the June 2018 meeting, Singh had advised officials of the Ministry to consider making smart prepaid meters mandatory after a particular date, according to an official statement.'"
b'https://www.thehindubusinessline.com/',"b'All meters to be converted prepaid, smart in 3 years'","b'The BJP on Monday said the Congress has not allocated adequate budgetary support for loan waivers in States where it is in power.The party fielded Human Resource Development Minister Prakash Javadekar to pick on the Congress\xe2\x80\x99 performance on the farm-loan waivers in Punjab and Karnataka, two States where disbursement of waivers has run into glitches and protests from the BJP, to assert that Congress President Rahul Gandhi and his campaign managers are \xe2\x80\x9clying and misleading farmers\xe2\x80\x9d.\xe2\x80\x9cIn Punjab, where the Congress has run the government for over one year now, they promised to waive off farm loans up to \xe2\x82\xb92 lakh.Pointing out at the Opposition protests in Karnataka, where the Congress formed an alliance government with the Janata Dal (United) earlier this year, the Union Minister said about 394 farmers have committed suicide in the southern State because of the government\xe2\x80\x99s \xe2\x80\x9capathy and indifference\xe2\x80\x9d.Javadekar said instead of making due allocations in the state budget, the Congress and JD(S) government is putting pressure on the nationalised banks to pay on their behalf.'"
b'https://www.thehindubusinessline.com/',b'BJP accuses Congress of duping farmers over loan waivers',"b'Telangana Chief Minister K Chandrasekhar Rao, called on his Odisha and West Bengal counterparts, as part of his resolve to forge a non-Congress and non-BJP front \xe2\x80\x94 a federal alliance of the regional parties \xe2\x80\x94 in the run up to the next elections.Fresh from a resounding victory in the Telangana Assembly polls, winning majority 88 of the 119 seats, the TRS Chief has intensified the pitch for evolving consensus on forming an alternative, which can fulfil the aspirations of all regions without allowing the national parties to decide the agenda for States.It is to be seen how Mamata, who has expressed herself to be part of the Congress-headed Mahaghatbandhan, in which N Chandrababu-led Telugu Desam Party is also a partner, will react to the proposal for an alternative front.New schemes needed\n\nThe Chief Ministers of both the Telugu States \xe2\x80\x94 Telangana and Andhra Pradesh \xe2\x80\x94 have been advocating different political formations, with the latter already part of the Maha Kutami\n\nOver the past few months KCR has made it clear that the country needs new type of governance and innovative ways to address various economic issues, particularly distress in the farm sector.Citing the case of how the direct benefit transfer scheme of Rythu Bandhu, will be a boon to farmers, advocated similar schemes at the national level that have potential to make a difference to distress in the farm sector.'"
b'https://www.thehindubusinessline.com/',"b'KCR visits Mamata, Patnaik to build consensus for Federal Front'","b'A day after Karnataka Chief Minister HD Kumaraswamy expanded his Cabinet by inducting eight new faces, a few Congress party veterans have raised the banner of revolt against the ruling Congress-Janata Dal-Secular coalition government.They deserve to be in the Cabinet, no doubt, but it isn\xe2\x80\x99t fair on the part of the leaders to sideline me.\xe2\x80\x9d The Congress then offered his daughter, also an MLA, the post of Parliamentary Secretary.It is alleged that he was getting closer to the BJP, something that the Congress felt could harm its fortunes in north Karnataka.This time, we were particular to include a few MLAs from north Karnataka for they were left out in the first round of Cabinet formation.\xe2\x80\x9d\n\nIn the backdrop of rising dissidence in the Congress, the party high command will send its Karnataka in-charge, KC Venugopal to sort out the issue by holding meetings with Coordination Committee Chairman Siddaramaiah, Deputy Chief Minister G Parameshwara and KPCC President Dinesh Gundurao, a senior party member said.The developments come at a time when the BJP, with just 10 MLAs short of forming its government, is keenly watching the Congress and its coalition partner JD(S).'"
b'https://www.thehindubusinessline.com/',b'Cabinet expansion leads to chorus of dissent in Karnataka',"b'A review petition was filed in the Supreme Court on Monday seeking to re-examine its verdict by which the Centre\xe2\x80\x99s flagship Aadhaar scheme was held as constitutionally valid.Senior advocate Indira Jaising said the review petition has been filed against the September 26 verdict of the five-judge constitution bench which had said there was nothing in the Aadhaar Act that violated right to privacy of an individual.The bench headed by then Chief Justice of India Dipak Misra had also upheld the passage of the Aadhaar Bill as a Money Bill by the Lok Sabha.The review petition has been filed by one Imtiyaz Ali Palsaniya, who had also filed interim applications when the apex court was examining the validity of the Aadhaar scheme.'"
